name,parent,description
root,,
unbestimmter Grundton,root,
Ces,root,
C,root,
Cis,root,
Des,root,
D,root,
Dis,root,
Es,root,
E,root,
Eis,root,
Fes,root,
F,root,
Fis,root,
Ges,root,
G,root,
Gis,root,
As,root,
A,root,
Ais,root,
B,root,
H,root,
His,root,
