name,parent,description
root,,
anderer dissonanter Klang,root,
Tritonus,root,
zwei oder mehr kleine Sekunden gleichzeitig,root,bzw. Komplementärintervalle / Oktaverweiterungen
kleine Sekunde,root,bzw. Komplementärintervalle / Oktaverweiterungen
zwei oder mehr große Sekunden gleichzeitig,root,bzw. Komplementärintervalle / Oktaverweiterungen
große Sekunde,root,bzw. Komplementärintervalle / Oktaverweiterungen
