name,parent
root,
entsprechende Melodie besitzt keinen erkennbaren Melodiecharakter,root
entsprechende Melodie besitzt folgenden Melodiecharakter,root
anderer Melodiecharakter,entsprechende Melodie besitzt folgenden Melodiecharakter
liedartig,entsprechende Melodie besitzt folgenden Melodiecharakter
arienartig,entsprechende Melodie besitzt folgenden Melodiecharakter
rezitativisch,entsprechende Melodie besitzt folgenden Melodiecharakter
fanfarenartig,entsprechende Melodie besitzt folgenden Melodiecharakter
marschartig,entsprechende Melodie besitzt folgenden Melodiecharakter
