name,parent,description
root,,
„fortspinnende“ Melodieform,root,Melodie wird unabhängig von motivischen Elementen fortgeführt.
„sich entwickelnde Melodieform“,root,Melodie wird durch motivisch-thematische Arbeit fortgeführt.
reihende Form,root,"Es werden Melodieabschnitte aneinandergereiht, die sich nicht wiederholen (ABCD...)."
wiederholende Form,root,z. B. ABA / ABACAD...
andere Melodieform,root,
keine erkennbare Melodieform,root,
