name,parent,description
root,,
ffff und lauter,root,
fff – fortefortissimo,root,
ff – fortissimo,root,
f – forte,root,
mf – mezzoforte,root,
mp – mezzopiano,root,
p – piano,root,
pp – pianissimo,root,
ppp – pianopianissimo und leiser,root,
nicht anwendbar,root,
